Prevalencia,Precipitacion_S1,Temperatura_M1,total.evaporation_S1,Punto.rocio_M1,Humedad.relativa_M1,DirViento_M1,Viento_M1,Precipitacion_S2,Temperatura_M2,total.evaporation_S2,Punto.rocio_M2,Humedad.relativa_M2,DirViento_M2,Viento_M2,Precipitacion_S3,Temperatura_M3,total.evaporation_S3,Punto.rocio_M3,Humedad.relativa_M3,DirViento_M3,Viento_M3,Precipitacion_S4,Temperatura_M4,total.evaporation_S4,Punto.rocio_M4,Humedad.relativa_M4,DirViento_M4,Viento_M4,Precipitacion_S5,Temperatura_M5,total.evaporation_S5,Punto.rocio_M5,Humedad.relativa_M5,DirViento_M5,Viento_M5,Precipitacion_S6,Temperatura_M6,total.evaporation_S6,Punto.rocio_M6,Humedad.relativa_M6,DirViento_M6,Viento_M6,Precipitacion_S7,Temperatura_M7,total.evaporation_S7,Punto.rocio_M7,Humedad.relativa_M7,DirViento_M7,Viento_M7,Precipitacion_S8,Temperatura_M8,total.evaporation_S8,Punto.rocio_M8,Humedad.relativa_M8,DirViento_M8,Viento_M8,Precipitacion_S9,Temperatura_M9,total.evaporation_S9,Punto.rocio_M9,Humedad.relativa_M9,DirViento_M9,Viento_M9
1,38.1330785,23.5637506,-43.9143516,18.8057088,75.1586883,134.0430811,7.6565135,18.5725232,23.4046128,-41.2288355,15.7085858,62.69364,116.6423422,8.3702296,30.8532178,26.1334506,-32.91291,20.1209087,69.8643056,101.5996454,6.0639985,13.8329715,23.4654443,-30.7380743,17.7721277,70.7100961,195.400662,9.7356959,9.3030634,22.5359923,-23.4949775,14.8118379,61.9295675,112.5919914,9.4499397,19.6178598,25.8815576,-21.4555506,16.4516983,56.4409044,77.129038,8.3574192,32.2471401,21.3889906,-25.0729658,15.4582369,69.1181254,121.7274439,8.599401,3.2995821,18.9137119,-17.18775,10.9692603,60.4809793,121.3464428,7.5711501,0.9162815,21.3922358,-12.2746071,12.0714203,55.626221,71.9250398,6.2627302
0,37.1318545,23.6277887,-47.0662387,18.9527384,75.5470402,136.6348534,7.8383173,17.0311321,23.5544907,-43.2424182,15.7826337,62.4226071,117.5606027,8.7106653,23.6502647,26.3619663,-31.6779539,20.2355897,69.4077924,103.9348098,6.3607717,13.6371703,23.8542383,-28.5742925,17.9474451,69.8713243,195.275157,9.7041189,6.7206624,22.9467182,-17.8880943,14.7009574,59.9697284,112.7437064,9.8629397,16.141553,26.1851302,-18.7319852,16.4507787,55.4436221,95.7606594,8.6803396,29.5771203,21.6234795,-24.7105667,15.6263196,68.913866,124.9342844,8.7848693,5.5274845,19.0981927,-15.0342593,11.0481665,60.2405375,124.1554049,7.9457403,0.5108805,21.5763179,-9.1989348,12.0596934,54.9787248,37.7706215,6.6699714
1,38.3536713,22.0080938,-34.7409472,15.2238901,66.2552655,153.5314504,11.0714658,23.0824771,25.0491168,-27.5056427,18.1970284,66.2275396,59.4234697,6.7410017,56.3376323,21.9613166,-31.1084082,18.7275901,82.0702063,155.1725101,12.8923343,7.511349,19.7835473,-31.498624,14.0826328,69.7726774,183.5992503,9.1119172,28.3694986,21.9534295,-22.680263,15.1936745,65.8459076,68.0820885,10.0682443,42.4922597,19.871971,-24.149836,15.0918082,74.1608594,121.1674839,10.1122857,1.6834429,18.0838401,-19.3837956,11.3257247,64.8496753,262.2964512,8.6418319,0.0081661,17.658833,-12.9726222,7.9660214,53.1415772,230.7415707,10.4082984,4.7883428,15.2198104,-8.3709629,7.4957144,60.4842523,182.2107895,7.6580857
0,46.2822662,22.0099004,-36.0274678,15.3509897,66.8259283,153.7417436,10.7986909,17.8551051,25.0949339,-30.4161683,18.1543851,65.763973,63.550468,6.9798945,54.3954448,22.0130662,-29.9147982,18.7522076,81.9749153,154.0960958,12.7645602,8.9509502,19.6616561,-32.2269052,14.0837559,70.3152666,184.1933125,9.2335278,34.4959471,21.9196649,-24.2553595,15.2243548,66.0982863,70.7956921,9.8665588,39.0348476,19.8118636,-24.8105107,15.0002555,73.989288,121.1482816,9.9783271,1.1336795,18.1406841,-19.6112934,11.2037765,64.0851836,261.3038103,8.5889969,0.0112953,17.6687451,-13.0652115,7.8140357,52.5664126,230.7104699,10.2042927,4.9650854,15.1941024,-8.4719285,7.3608105,60.044281,179.756814,7.5498438
0,5.5248126,23.3004494,-31.6256508,17.3897539,69.6196716,178.2578968,10.652896,8.0656741,22.5781519,-23.4925225,15.1216277,63.096681,96.9940131,9.9964544,33.049972,25.0720448,-22.5977283,17.4770138,63.3668773,90.1701935,10.6369058,38.175886,20.7647623,-29.4137187,15.1906947,70.5811297,99.0122833,8.4467112,2.0516516,17.5672698,-17.8354699,10.331314,63.0191521,114.324032,8.9790734,16.0632751,22.246025,-14.2981531,15.5250532,66.084277,48.994384,6.3047327,12.3335017,14.2534721,-14.2657049,8.7000024,70.0384041,110.7093949,8.7126435,0.0049059,16.6591574,-11.9182197,9.5032234,62.8741915,65.8342756,10.491992,1.545835,21.0971753,-7.8994371,13.0304754,60.5329974,95.8396133,9.0953044
0,3.5302174,22.8503876,-22.3319866,9.9783434,44.5851581,67.6528656,8.1002502,32.2754981,26.8207452,-21.2497599,15.4056863,51.4705102,48.3974792,9.613613,17.7879065,22.6844648,-30.4919947,12.9219396,55.086138,88.7415558,9.5211797,12.6235381,25.8101084,-26.8336227,15.9965384,55.9054204,86.7886542,7.3857915,49.7437116,24.8865703,-36.5077946,16.6781897,61.1545778,99.8319356,6.1017793,33.9865049,22.4073264,-37.9081955,13.8275531,59.6007396,109.9384306,7.1777647,10.578199,25.415682,-29.1200541,15.0144292,52.9555806,111.2771363,5.9117868,21.7173897,24.7732981,-25.0727972,14.7078496,54.9443417,79.3785728,7.8752101,72.3669975,23.4056451,-33.3613064,16.0879553,63.9805852,96.7206598,6.8092236
0,15.4777737,25.8732761,-25.4266141,13.7314567,47.6190157,31.315878,10.2912043,14.2493814,22.8556716,-24.5593386,13.3540974,56.1988434,100.7958217,9.4697728,6.5149497,26.6015687,-15.9586519,15.3818761,50.8734815,99.1053772,6.819025,36.9555683,26.3513952,-26.5696365,16.7754377,56.8216609,98.1832294,5.6341722,18.8133289,23.2829039,-28.9891567,13.1481929,54.4918544,98.6161254,8.0588005,12.2042435,25.6474405,-19.6133666,14.5137638,50.8004063,95.309324,5.1577578,15.8702035,25.4652313,-19.7569681,12.9919517,46.4861907,105.484998,7.2048131,84.3064221,24.1723829,-32.2401412,17.6015452,67.1144651,110.2195293,6.583179,33.2719719,23.6707789,-43.6672354,15.8925521,61.9276944,70.2264151,6.7439652
1,8.365211,25.656292,-33.9406431,14.4824495,50.2983993,37.1700089,10.6549767,10.142532,23.7386713,-25.7650791,13.3288858,52.9788033,97.4736949,10.3958893,4.5338701,27.2590312,-16.1613841,15.4819167,49.0801339,104.9470303,7.6421616,19.2713023,27.2493607,-21.9321409,16.8614566,53.9759412,107.5628891,6.0519569,16.9513841,24.5055276,-23.9291377,13.21748,50.6251072,83.598688,8.7515198,21.1089688,25.7826944,-22.7733487,14.8797387,51.7557656,138.0636861,5.2561337,17.6945974,25.6354218,-25.1250183,13.4242678,47.1202928,71.1167562,7.653436,74.7202369,24.9557244,-31.8122227,18.0694326,65.8575226,106.5794053,7.5405863,45.0713968,24.1947047,-44.1740286,16.3893376,61.9852672,77.7755994,6.3691479
0,5.6140394,27.7298353,-28.3856485,13.5173047,41.9511772,70.0836222,12.5881435,21.2691247,25.3847895,-26.7357156,13.2444539,48.9004085,123.0538431,11.7043481,9.5618945,29.386668,-18.3782699,15.5064936,44.5436201,117.3282436,10.5186104,29.8100144,29.9700068,-26.3513932,16.7544172,47.4101915,106.2556859,9.1868533,6.7447742,27.7033548,-17.5800025,11.9025386,38.6396972,99.2137649,11.1799995,77.2761392,26.709143,-38.3408694,18.407408,61.8983162,111.412164,7.8026141,5.1906456,26.3262095,-33.8056376,15.6507163,52.1820448,98.0406724,8.9266174,25.0015589,28.9452996,-22.2222833,18.7811839,55.0861687,101.2081616,9.3117812,37.9429942,25.8526637,-37.5040676,18.8070948,66.3571928,96.6586895,8.1193126
1,12.6290077,25.6868853,-22.1790494,12.8744643,46.4001115,117.3461237,11.1527426,4.3277016,30.4714538,-15.8453882,14.5311143,38.5069604,110.1615611,9.5142075,19.0363315,29.3149678,-25.7387552,15.9233543,46.361666,120.2989134,9.8424035,10.7834716,26.1287868,-13.0420849,13.7775389,48.0973883,109.7388666,10.4268933,43.7799143,26.0446362,-33.7734446,17.7846446,61.2534849,108.4926419,8.8872441,19.7237897,27.9341411,-25.3272383,18.2201598,55.9035633,121.0498395,7.2728326,83.5225191,27.5731176,-28.2150516,20.1375184,65.3882295,85.8234554,9.6191917,8.4276872,26.8183127,-43.8658288,19.7986762,65.7831705,80.7040095,8.0265805,16.2994672,27.2455743,-21.2233281,17.2092918,54.5645107,111.319563,9.3012949
