Prevalencia	Humedad.relativa__mean	Temperatura__mean	Viento__mean	Humedad.relativa__mean.1	Temperatura__mean.1	Viento__mean.1	Humedad.relativa__mean.2	Temperatura__mean.2	Viento__mean.2	Humedad.relativa__mean.3	Temperatura__mean.3	Viento__mean.3	Humedad.relativa__mean.4	Temperatura__mean.4	Viento__mean.4	Humedad.relativa__mean.5	Temperatura__mean.5	Viento__mean.5	Humedad.relativa__mean.6	Temperatura__mean.6	Viento__mean.6	Precipitacion__sum	Precipitacion__sum.1	Precipitacion__sum.2	Precipitacion__sum.3	Precipitacion__sum.4	Precipitacion__sum.5	Precipitacion__sum.6
0	36.4072001	29.6741014	9.6982857	45.6090745	26.0921441	11.4457555	64.6284376	26.9240585	5.5821732	52.0154981	25.3006143	8.2656986	58.4913251	28.7715197	7.5491357	56.9734911	29.0111181	8.6608076	74.972577	26.0186558	8.2674177	2.3989376	10.3092899	44.4129944	1.5024404	22.6527627	24.1148625	61.9771533
0	38.9800957	29.1179956	9.4528845	49.189104	25.57152	10.9591735	72.3135394	25.8568617	5.2079602	63.2625791	24.2316853	7.385999	69.0964137	27.5465499	6.8936525	65.9504295	27.6257712	7.9124469	80.8536881	25.8104736	7.4418692	0.9657887	7.1107705	104.4273317	3.1644116	33.2519885	17.0092139	88.3571707
1	36.003069	29.6199836	9.6639932	44.4732834	26.1294511	11.6292551	64.5839012	26.8666506	5.717988	50.4930712	25.2588314	8.3975422	55.5093615	28.8817201	8.2987971	52.8819573	29.58586	9.2025462	72.6866559	26.136192	8.3822624	1.3945398	14.8261448	44.7564661	1.5487532	11.5399982	19.4149766	41.4285712
0	38.2998499	29.1819023	9.7147101	48.9089876	25.5514889	11.3347079	71.2020601	25.9829313	5.3280956	61.8491312	24.2862565	7.6181543	68.0553299	27.6143861	7.155611	65.2411689	27.6848648	8.1072725	80.7431112	25.6935767	7.6207201	0.6752458	7.4807515	88.7126565	2.4524639	36.1946996	16.0988126	98.6946575
0	50.1998723	26.6819837	8.4113593	48.628035	24.5679277	8.3407356	51.674636	25.8951918	6.246939	47.7554763	25.0068317	7.0552779	57.6271461	26.5642792	8.6312917	66.3035782	25.3838395	7.1013669	62.0302191	24.1392729	6.1313933	13.9143315	2.5589426	16.1798835	16.1114047	14.7133495	58.3866093	53.2316916
1	56.2757532	24.5736085	7.5631481	56.3329593	22.7278398	5.9842425	50.7253012	25.5041948	5.6809457	43.3401384	24.9341592	6.6451868	61.6907215	25.4773419	7.9444602	64.2320995	24.1485228	6.0886141	61.6714877	23.0117268	6.3193542	14.9145421	6.9069673	2.7217209	9.20494	29.57015	55.1270101	37.9412375
0	49.1250538	27.0223622	12.2529594	49.6707254	24.8922627	11.7711364	50.8536164	26.5718915	8.4574549	48.2441556	25.5626818	8.7941317	61.1313224	26.9270256	11.6293364	66.504347	25.5038055	8.7834411	60.5858799	24.8115896	8.9396248	6.3944009	0.9631922	23.3864278	15.8082406	12.4217447	74.1111491	40.1476078
0	46.3552383	26.96807	10.9713888	48.1821009	24.6150584	9.8019299	48.4451764	26.7484052	8.7041093	46.2890821	25.2276976	7.6664933	61.3810718	26.9883631	10.1302754	61.9192716	25.978473	8.6450663	56.3072882	25.5329554	8.9020771	3.3469346	3.8783361	2.5316119	19.202889	14.8758616	23.2241157	13.8677709
1	47.6238447	25.728703	11.5043404	67.0032694	26.8955101	6.8840799	56.5271856	24.9986448	10.0968885	61.2901877	28.118978	7.8831243	65.0902734	28.099791	10.5387605	73.0980232	25.5578759	9.4068401	67.1780747	27.5395502	8.9812127	4.754289	53.1507867	2.5548272	25.4981991	89.6638487	22.6801656	8.2310843
0	57.3462435	28.138402	7.3237464	75.4097813	26.8142755	9.9481238	66.1990249	26.0469404	7.2053795	59.8313974	29.1804571	10.3772753	54.9206953	26.4793853	8.9701204	53.5158724	28.4640817	10.704988	46.1248184	27.3035227	7.2444983	25.2685814	89.3432643	3.9219512	2.9659483	16.5558876	0.6139119	1.2228968
1	66.4227884	23.3258555	6.885489	65.2659208	23.5657403	6.6763116	66.2407985	24.0076105	7.1002201	74.482744	23.1723075	7.6980197	66.7460631	23.3629069	6.8367542	75.3942718	23.0476941	6.9611002	66.9210261	22.3598146	6.2617863	15.4534398	70.8081867	47.4944814	68.281478	0.9408416	173.4277	3.1154486
0	68.0713726	23.2359885	6.9666638	65.6147912	23.6022103	6.6856095	65.0717436	24.1309713	7.149708	74.7025498	23.3504139	7.8218082	67.573367	23.2597285	6.7832075	75.1218341	23.1308065	7.3014113	67.7972688	22.4160483	6.5015316	24.404165	61.7238279	39.3477334	73.6330066	0.4064115	130.8917244	4.7311815
1	68.0713726	23.2359885	6.9666638	65.6147912	23.6022103	6.6856095	65.0717436	24.1309713	7.149708	74.7025498	23.3504139	7.8218082	67.573367	23.2597285	6.7832075	75.1218341	23.1308065	7.3014113	67.7972688	22.4160483	6.5015316	24.404165	61.7238279	39.3477334	73.6330066	0.4064115	130.8917244	4.7311815
1	67.4720787	23.3463052	6.7466808	65.0577575	23.7055747	6.5554004	64.6725897	24.2457406	7.057022	74.431133	23.3768857	7.7706808	67.0188114	23.3034645	6.6784555	74.7389815	23.1883888	7.1342194	67.1413523	22.5080893	6.2662452	21.740508	59.2830624	42.7822276	70.7764838	0.4001381	129.8991282	4.096854
1	65.2518352	23.2809337	7.0119922	66.3917272	24.0192743	7.7019707	72.307419	22.7262079	8.2232847	69.4549578	23.869016	7.9606253	74.3139806	22.4586325	7.0497512	63.1437162	22.1368176	6.0225338	57.390433	23.5519478	8.6585093	72.1966706	4.5399266	67.4717672	35.0142861	134.4324042	2.1216701	0.1417833
1	66.6316297	24.5657499	7.5885736	72.77018	22.225581	7.2267888	72.7923079	24.0330141	8.3029504	73.4103989	22.3714243	6.0381956	58.560043	22.3544029	6.497774	59.5490198	23.8628607	7.785157	60.1931582	23.6497235	7.500307	5.1890152	69.2321635	160.7713591	4.2006853	0.1518886	0.2013253	25.2874506
1	65.0146863	25.0933262	7.5563206	71.7096028	22.1299011	7.4505429	70.9733306	24.1176379	7.8785674	71.4370822	22.5842917	5.3981977	56.6562095	22.6416285	6.1583979	59.2509544	24.0254351	7.3689255	58.9739267	23.7230122	7.2252455	0.533803	51.9400961	151.2016248	2.0141634	0.06424	1.0146456	13.9774543
1	60.4318608	26.4245901	9.6556025	70.2260699	23.9469468	11.3815552	69.1726016	25.5931308	11.5431174	71.6640695	23.5038299	8.9365194	61.678845	23.5820466	9.4762886	58.810558	24.8755095	9.4216735	59.7600775	25.5227471	10.6142257	2.239837	82.4397482	62.2181635	2.2190991	0.2639603	0.706877	0.6166857
0	57.1367049	26.3717976	8.780694	70.2241684	24.1350746	11.2338516	70.7174144	25.2628202	10.9864556	74.1852596	23.0721661	9.4383538	64.3999703	22.9419796	9.3044198	58.3327583	24.3630118	9.0705231	59.0392221	25.2648881	9.8319749	0.7348793	98.6812986	72.9969483	3.6375406	0.6862145	0.2998965	0.4885805
1	71.3774933	21.3880551	7.0263872	73.0542144	24.1196137	7.1544373	71.7836964	22.6880955	5.4893607	53.2390515	22.5848827	7.2654197	60.224763	24.2658294	6.7523873	59.7273321	23.0621017	7.7575343	67.4856959	21.411728	6.3896093	53.4477897	163.2278006	2.2293899	0.059041	0.7856103	23.6626736	20.1109856
1	72.3023197	21.4483695	6.8998671	74.5943299	24.0346644	7.7857612	74.00082	22.4036136	5.8933366	54.422578	22.3218619	7.6847414	60.9220729	24.0413944	7.0982716	61.2000688	22.9523082	8.1629842	69.3487927	20.9991419	6.6564015	68.8191868	160.773028	4.3251637	0.0248875	0.3794642	31.6940716	17.4650013
1	72.3253119	21.426641	7.0724468	75.3221559	23.9352527	8.0752958	74.8698493	22.1644255	6.0753036	54.5706548	22.114447	7.9916356	60.8102479	23.8741697	7.1616787	61.1259473	22.8495017	8.3821157	69.6281992	20.6928385	6.7266253	73.8493718	142.3894804	5.4251227	0.0342305	0.2271148	36.2731389	16.6673124
1	75.3039395	24.1021032	7.7958368	74.1261841	22.665679	5.4341871	52.701371	22.0481417	7.926106	60.5960591	24.2896317	6.7604325	62.2535147	22.5550979	8.7377747	70.414021	20.8281655	5.9403345	60.8018631	22.2322932	9.3573641	173.9539861	3.4988853	0.0298436	0.3529223	29.9393705	16.7328715	2.4319053
1	75.6827099	24.0903728	7.9086563	74.5281956	22.6021327	5.4538869	53.2456	21.9621345	8.018611	61.2990333	24.1884877	6.7264268	62.9118322	22.484704	8.8013504	70.6088026	20.7170699	5.9009523	61.2759989	22.1119435	9.3757481	161.4126771	3.7998441	0.0363107	0.3403755	32.0194534	15.8139467	2.0754546
1	75.8338662	24.0491479	8.3559402	74.7877451	22.5720685	5.8196618	53.205437	21.9329074	8.4369135	61.0286794	24.0650339	7.0034961	62.383597	22.6429653	9.1875147	71.465933	20.672706	6.0460893	61.1023354	22.0966324	9.8044165	133.7546467	6.4647827	0.0295307	0.3946306	35.4417733	18.7976211	2.6944935
1	75.6705502	24.1112061	7.9781729	74.3996806	22.7337594	5.5790338	54.1168581	21.9853278	8.1306133	61.6975339	24.0695331	6.7069503	62.6204401	22.7371571	8.7668414	71.8264827	20.9274958	5.8294649	62.326847	22.1252899	9.3920866	130.7453572	5.2270326	0.0552501	0.6901654	31.6522888	18.477276	3.0551165
1	75.6705502	24.1112061	7.9781729	74.3996806	22.7337594	5.5790338	54.1168581	21.9853278	8.1306133	61.6975339	24.0695331	6.7069503	62.6204401	22.7371571	8.7668414	71.8264827	20.9274958	5.8294649	62.326847	22.1252899	9.3920866	130.7453572	5.2270326	0.0552501	0.6901654	31.6522888	18.477276	3.0551165
0	75.6467025	24.2573029	10.2829858	74.8262561	23.1874548	9.2859526	66.677592	19.7198363	11.3626667	70.2177027	22.5257266	9.9528743	77.3682529	25.5815534	11.5276018	81.0154335	25.3582141	7.6941326	72.4577059	25.2206646	8.7709253	59.317556	69.8577821	4.5282344	27.3512627	63.5267559	89.6053844	37.3105526
0	65.5547662	22.5901238	6.3037966	61.924556	22.3469937	8.8365261	51.868731	23.5396236	6.5768635	43.6183136	26.3278501	7.254536	43.9292507	27.7812721	9.9733492	74.443198	24.456268	6.0268906	65.6882972	24.8579264	5.8785802	38.137769	16.0228431	6.1478354	2.6836456	0.086046	38.9976621	3.9377
0	66.6777904	23.1679698	6.5796243	62.8154003	23.0419807	8.9420532	55.4353181	24.186201	6.5937428	48.6622904	26.6436401	6.5121909	46.531627	28.5787052	10.7508931	76.1675017	24.71186	5.5752718	66.0973471	25.3853515	5.972604	47.782635	29.7612816	19.139368	8.3468319	0.1598663	44.1631348	2.9521819
0	63.7357024	23.4595108	8.4726386	52.1502119	24.7419046	7.8996808	53.2037481	26.6742105	6.9931323	52.1201755	28.5117043	10.7915343	77.9640759	24.4702044	5.7054092	64.1639208	25.6879852	5.7634102	75.1976496	23.0670882	10.7935574	34.0376139	25.2894707	12.6930153	1.8489166	46.6568812	7.3943469	14.5403915
